"","title","date_posted","position","location","url","District","Archive_Date"
"154","Substitute Bus Driver","7/9/2021","Transportation/","District Wide","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2025-09-19
"155","Grandparent Consultant","12/13/2022","Tutors/","District Wide","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2025-09-19
"156","High School Football - Assistant Coach","11/13/2024","Athletics/Activities","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"157","High School Volleyball - Assistant Coach","12/5/2024","Athletics/Activities","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"158","Head Golf Coach - Starting Fall of 2025","12/5/2024","Athletics/Activities","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"159","Middle School Football - Assistant Coach","1/21/2025","Athletics/Activities","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"160","Middle School Volleyball - Assistant Coach","4/25/2025","Athletics/Activities","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"161","Middle School Girls Basketball - Assistant Coach","4/25/2025","Athletics/Activities","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"162","Middle School Girls Wrestling - Assistant Coach","4/25/2025","Athletics/Activities","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"163","CTE/Industrial Arts Teacher","3/12/2025","High School Teaching/","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"164","Technology Paraprofessional","6/2/2025","Paraprofessional/","Kemmerer Junior Senior High School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"165","K-12 Special Education Teacher","2/14/2024","Student Support Services","Canyon Elementary School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"166","Substitute Bus Driver","1/7/2022","Substitute/","District Office","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"167","Food Service","6/30/2023","Substitute/","District Office","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"168","Substitute","7/13/2020","Substitute/","District Office","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"169","Substitute","1/22/2020","Substitute/","District Office","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"170","Occupational Therapist","12/6/2022","Support Staff","Canyon Elementary School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"171","Speech/Language Pathologist","9/13/2024","Support Staff","Canyon Elementary School","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2025-09-19
"172","Special Education Paraeducator","9/12/2025","Para-Educator/","Powell High School","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2025-09-19
"173","Substitute School Nurse","9/18/2025","Student Support Services/","District-Wide K-12","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2025-09-19
"174","Substitute Teacher","7/3/2024","Substitute/","District-Wide K-12","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2025-09-19
"175","Substitute Custodian","7/3/2024","Substitute Support Services/","District-Wide K-12","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2025-09-19
"176","Substitute Para-Educator","7/3/2024","Substitute Support Services/","District-Wide K-12","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2025-09-19
"177","Activity Bus Driver","7/2/2025","Transportation/","Transportation Department","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2025-09-19
"178","Route Bus Driver - Clark Elementary School","7/30/2025","Transportation/","Clark Elementary School","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2025-09-19
"179","Route Bus Driver","9/27/2021","Transportation/","Transportation Department","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2025-09-19
"180","Middle School Volleyball Coach","5/2/2025","Athletics/Activities/","Cody Middle School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"181","CHS Color Guard Coach","9/2/2025","Athletics/Activities/","Cody High School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"182","School Nutrition Assistant (Part Time)","7/16/2025","Food Services/","Sunset Elementary School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"183","Custodian","9/10/2025","Maintenance/Custodial/","Cody High School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"184","Board Certified Behavior Analyst","2/7/2025","Student Support Services/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"185","Substitute Paraeducator (Aide) 2025-2026 School Year","7/16/2025","Substitute/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"186","Substitute Custodian 2025-2026 School Year","7/16/2025","Substitute/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"187","Substitute Nurse 2025-2026 School Year","7/16/2025","Substitute/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"188","Substitute Teacher 2025-2026 School Year","7/16/2025","Substitute/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"189","Elementary Para Educator","9/15/2025","Support Staff/","Eastside Elementary School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"190","ELL Para Educator - Part Time","8/19/2025","Support Staff/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"191","Route Driver","7/16/2025","Transportation","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"192","Bus Aide","7/16/2025","Transportation","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"193","Crossing Guard","8/18/2025","Transportation/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2025-09-19
"194","TRMS Paraprofessional","8/18/2025","Support Staff/","Tongue River Middle School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"195","TRE Special Education Paraprofessional","9/2/2025","Support Staff/","Tongue River Elementary","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"196","TRHS Special Education Paraprofessional","7/24/2025","Support Staff/","Tongue River High School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"197","BHMS Assistant Football Coach","7/28/2025","Athletics/Activities/","Big Horn Middle School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"198","TRMS Assistant Robotics Coach","8/12/2025","Athletics/Activities/","Tongue River Middle School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"199","BHMS Assistant Wrestling Coach","9/8/2025","Athletics/Activities/","Big Horn Middle School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"200","TRHS Assistant Boys Basketball Coach","6/3/2024","Athletics/Activities/","Tongue River High School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"201","TRMS Assistant Boys Basketball Coach","8/14/2024","Athletics/Activities/","Tongue River Middle School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"202","TRHS Head Track Coach","6/3/2025","Athletics/Activities/","Tongue River High School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"203","TRHS Assistant Track Coach","6/3/2025","Athletics/Activities/","Tongue River High School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"204","Bus Driver","4/1/2025","Transportation/","District-Wide","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"205","BHHS Assistant Volleyball Coach","4/8/2025","Athletics/Activities/","Big Horn High School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"206","TRMS Assistant Girls Basketball Coach","5/20/2025","Athletics/Activities/","Tongue River Middle School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"207","TRHS Assistant Volleyball Coach","5/28/2025","Athletics/Activities/","Tongue River High School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"208","TR Custodian","9/11/2025","Maintenance/Custodial/","TR Schools","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"209","Substitute - Nurse","9/4/2025","Substitute/","TR Schools","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"210","Substitute - Support Staff","7/3/2018","Substitute/","District-Wide","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"211","Substitute - Teacher","7/9/2018","Substitute/","District-Wide","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2025-09-19
"212","Basketball Coach - 9th Grade A Team - Sheridan High School","4/8/2025","Athletic Coaches","Sheridan High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"213","Assistant Girls Basketball Coach - Sheridan High School","4/15/2025","Athletic Coaches","Sheridan High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"214","Assistant Cross Country Coach- Sheridan Junior High School","5/12/2025","Athletic Coaches","Sheridan Junior High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"215","9th Grade Boys Basketball B Team Assistant Coach - Sheridan High School","5/13/2025","Athletic Coaches","Sheridan High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"216","7th Grade Volleyball B Coach- Sheridan Junior High School","7/24/2025","Athletic Coaches","Sheridan Junior High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"217","Assistant Indoor Track Coach - Sheridan High School","9/10/2025","Athletic Coaches","Sheridan High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"218","Assistant Outdoor Track Coach - Sheridan High School","9/10/2025","Athletic Coaches","Sheridan High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"219","Financial Operations Technician - Central Office","8/25/2025","Central Office Technicians/Specialists/","Central Office","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"220","Elementary Reading Recovery / Special Education Teacher - Districtwide","8/4/2025","Elementary School Teaching","District Wide","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"221","English Language Paraprofessional/ General Paraprofessional/ After School Program Paraprofessional","9/17/2025","Paraprofessionals","Woodland Park","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"222","Paraprofessional - Special Education (Intensive Education Classroom) - Sheridan High School","6/18/2025","Paraprofessionals","Sheridan High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"223","Paraprofessional","5/19/2023","Paraprofessionals","Sheridan Junior High School","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"224","English Language Paraprofessional and After School Coordinator - Highland Park Elementary","8/26/2025","Paraprofessionals","Highland Park","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"225","Paraprofessional - John C. Schiffer Collaborative School","9/5/2025","Paraprofessionals","John C. Schiffer","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"226","Substitute Teacher (for prior SCSD2 Teachers only)","7/1/2025","Prior Employee/","District Wide","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"227","Seasonal Grounds Worker - Districtwide","2/21/2025","Seasonal Staff","District Wide","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"228","Substitute Bus Paraprofessional - Districtwide","4/28/2025","Substitutes","Bus Barn","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"229","Substitute Cooks Helper - Districtwide","8/23/2024","Substitutes","District Wide","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"230","Substitute Custodian - Districtwide","8/29/2024","Substitutes","District Wide","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"231","Substitute Paraprofessional","7/10/2024","Substitutes","District Wide","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"232","Substitute School Nurse","7/10/2024","Substitutes","District Wide","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"233","Substitute Teacher","7/1/2025","Substitutes/","District Wide","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"234","Bus Driver - Districtwide","2/11/2025","Transportation Staff","Bus Barn","https://www.applitrack.com/scsd2/OnlineApp/default.aspx?all=1","Sheridan County School District 2",2025-09-19
"235","Facility Accounting and Operations Specialist I","7/8/2025","Administrative Support Services","Maintenance","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"236","Secretary to Lowell Principal","8/25/2025","Administrative Support Services","Lowell School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"237","Data Specialist/ Technician","9/15/2025","Administrative Support Services","Central Administration","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"238","FEMS Assistant Coach - Basketball - Girls","9/15/2025","Athletics/Activities/","Farson-Eden Middle School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"239","RSJH Assistant Coach - 7th Grade Girls Basketball","8/4/2025","Athletics/Activities/","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"240","FEMS-FEHS Assistant Coach - Football","3/3/2025","Athletics/Activities/","Farson-Eden High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"241","RSHS Assistant Coach - Outdoor Track and Field","4/25/2025","Athletics/Activities/","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"242","RSHS Assistant Coach - Girls Swim","4/30/2025","Athletics/Activities/","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"243","RSHS Assistant Coach - Boys Swim","4/30/2025","Athletics/Activities/","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"244","FEMS Head Coach - Basketball - Boys","8/5/2025","Athletics/Activities/","Farson-Eden Middle School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"245","RSJH Head Coach - Girls Soccer - 7th Grade","8/26/2025","Athletics/Activities/","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"246","RSJH Head Coach - Girls Soccer - 8th Grade","8/26/2025","Athletics/Activities/","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"247","RSJH Head Coach - Boys Soccer - 7th Grade","8/26/2025","Athletics/Activities/","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"248","RSJH Head Coach - Boys Soccer - 8th Grade","8/26/2025","Athletics/Activities/","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"249","Elementary Teacher 1st Grade","8/19/2025","Certified Staff/","Desert View Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"250","School Counselor","4/29/2025","Certified Staff/","Eastside Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"251","Band Teacher - Pilot Butte and Eastside Elementary","9/10/2025","Certified Staff/","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"252","Music Teacher 4-6","1/21/2025","Certified Staff/","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"253","Music Teacher K-3 (3) Part-Time or Full-Time","1/21/2025","Certified Staff/","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"254","Social Worker","5/22/2025","Certified Staff/","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"255","Bus Driver/Classroom Paraprofessional","8/11/2025","Combined Positions/","Desert Elementary (Wamsutter)","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"256","Bus Driver/Resource Room Paraprofessional","8/11/2025","Combined Positions/","Desert Elementary (Wamsutter)","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"257","Substitute - Head Start","6/12/2018","Head Start","Overland Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"258","Activities Lead/ Full Time Custodian","9/10/2025","Maintenance/Custodial/","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"259","Full-Time Custodian (2)","9/4/2025","Maintenance/Custodial/","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"260","Full-Time Custodian","8/19/2025","Maintenance/Custodial/","Eastside Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"261","Full-Time Custodian","8/27/2025","Maintenance/Custodial/","Rock Springs Junior High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"262","Lead Custodian","9/18/2025","Maintenance/Custodial/","Central Administration","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"263","Nutrition Services Assistant","7/16/2025","Nutrition Services/","Overland Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"264","Nutrition Services Manager","5/5/2025","Nutrition Services/","Desert View Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"265","Nutrition Services Secretary","9/18/2025","Nutrition Services/","Central Administration","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"266","Nutrition Services Substitute","7/18/2024","Nutrition Services/","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"267","Accompanist","8/20/2025","Paraprofessional/","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"268","ELL Paraprofessional","3/4/2025","Paraprofessional/","Rock Springs Junior High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"269","ELL Paraprofessional","6/4/2025","Paraprofessional/","Walnut Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"270","Resource Paraprofessional","7/31/2025","Paraprofessional/","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"271","Special Education Paraprofessional (2)","4/2/2025","Paraprofessional/","Lowell School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"272","Resource Room Paraprofessional","8/19/2025","Paraprofessional/","Walnut Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"273","Resource Room Paraprofessional (3)","8/21/2025","Paraprofessional/","Rock Springs Satellite High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"274","Resource Room Paraprofessional","9/10/2025","Paraprofessional/","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"275","Alternate Academic Special Programs One-on-One Paraprofessional","9/10/2025","Paraprofessional/","Pilot Butte Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"276","Alternate Academic Special Programs One-on-One Paraprofessional","9/9/2025","Paraprofessional/","Northpark Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"277","Special Programs One-on-One Paraprofessional","8/29/2025","Paraprofessional/","Sage Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"278","Alternate Academic Special Programs One-on-One Paraprofessional","5/5/2025","Paraprofessional/","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"279","Special Programs (Alternative Academics Program) Paraprofessional (2)","3/13/2025","Paraprofessional/","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"280","Full-Time High School Special Education Paraprofessional and Daycare Assistant - Overland/RSHS","11/4/2024","Paraprofessional/","Overland/RSHS","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"281","Special Programs Paraprofessional (Alternative Communications Program) (2)","7/31/2025","Paraprofessional/","Pilot Butte Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"282","Special Programs Paraprofessional (Alternative Behavior Program)","8/11/2025","Paraprofessional/","Sage Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"283","Alternative Communications Paraprofessional","8/11/2025","Paraprofessional/","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"284","Special Programs Paraprofessional (Alternative Behavior Program)","8/11/2025","Paraprofessional/","Stagecoach Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"285","Certified Substitute School Nurse","10/3/2019","Substitute","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"286","Long Term Substitute Teacher - 1st Grade","8/20/2025","Substitute/","Desert View Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"287","Long Term Substitute Teacher - Music 4-6 ( Part time @ ESE)","8/21/2025","Substitute/","Eastside Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"288","Long Term Substitute Teacher - Music K-3 (.5 position) - Part-time","8/12/2025","Substitute/","Stagecoach Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"289","BOCES Part Time Building Substitute Teacher (2) - One Year Only","6/5/2025","Substitute/","Overland Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"290","Substitute Teacher","7/7/2025","Substitute/","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"291","Long Term Substitute Teacher - Music 4-6 (.75 PBE)","7/24/2025","Substitute/","Pilot Butte Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"292","BOCES Full Time Building Substitute Teacher (1) - One Year Only","2/4/2025","Substitute/","Overland Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"293","Substitute Summer Feeding Program Assistant","5/1/2025","Summer Employees/","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"294","Bus Aide","4/23/2025","Transportation/","Transportation","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"295","Part-Time Bus Driver (26 Hours/Week)","9/5/2019","Transportation/","Transportation","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"296","Substitute Bus Driver","7/8/2025","Transportation/","Transportation","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1",2025-09-19
"297","GRHS Assistant Boys Swim and Diving Coach","6/5/2025","Athletics/Activities/","Green River High School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2",2025-09-19
"298","GRHS Assistant Boys Soccer Coach","6/5/2025","Athletics/Activities/","Green River High School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2",2025-09-19
"299","GRHS Assistant Girls Soccer Coach","6/5/2025","Athletics/Activities/","Green River High School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2",2025-09-19
"300","LMS Head Co-Ed Soccer Coach","6/5/2025","Athletics/Activities/","Lincoln Middle School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2",2025-09-19
"301","LMS Assistant Co-Ed Soccer Coach","6/5/2025","Athletics/Activities/","Lincoln Middle School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2",2025-09-19
