"","title","Archive_Date","position","location","url","District","Category","Broad_Category"
"2873","Resource Teacher (3)",2025-02-28,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"2874","Resource Teacher",2025-02-28,"Teacher","Pilot Butte Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education","Special Education"
"2875","Alternative Academic-Daily Living Skills Program Teacher",2025-02-28,"Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"2876","PEAK Teacher (Gifted and Talented)",2025-02-28,"Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Uncategorized","Other"
"2877","Elementary Dual Immersion Teacher, 3rd Grade-Spanish Instruction",2025-02-28,"Teacher","Munger Mountain Elementary","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"2878","Elementary Teacher, Grades K-2, English and Dual Immersion (Spanish) Teachers",2025-02-28,"Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"2879","Elementary Teacher, Grades 3-5, English and Dual Immersion (Spanish) Teachers",2025-02-28,"Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"2880","High School CTE Teacher (Construction Technology)",2025-02-28,"Teacher","Jackson Hole High School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Technical Education","CTE"
"2881","High School Math Teacher",2025-02-28,"Teacher","Jackson Hole High School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Mathematics Education","STEM"
"2882","High School Science Teacher",2025-02-28,"Teacher","Jackson Hole High School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Science Education","STEM"
"2883","Middle School Spanish Teacher",2025-02-28,"Teacher","Jackson Hole Middle School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Language Education","Lanugage"
"2884","K-12 Special Education Teacher",2025-02-28,"Teacher","TCSD Schools","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Special Education","Special Education"
"2885","Elementary Teacher",2025-02-28,"Teacher","District Wide","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Elementary Education","Elementary"
"2886","Secondary Math Teacher",2025-02-28,"Teacher","Evanston High School","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Mathematics Education","STEM"
"2887","SPED Resource Teacher",2025-02-28,"Teacher","District Wide","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Special Education","Special Education"
"2888","Middle School Assistant Principal / Teacher",2025-02-28,"Teacher","Worland Middle School","https://www.applitrack.com/washakie1/onlineapp/default.aspx?all=1","Washakie County School District 1","Uncategorized","Other"
"2889","Elementary Teacher",2025-02-28,"Teacher","West Side Elementary","https://www.applitrack.com/washakie1/onlineapp/default.aspx?all=1","Washakie County School District 1","Elementary Education","Elementary"
"2890","Secondary Alternative School Teacher",2025-02-28,"Teacher","Worland High School","https://www.applitrack.com/washakie1/onlineapp/default.aspx?all=1","Washakie County School District 1","Uncategorized","Other"
"2891","High School Special Education Teacher",2025-02-28,"Teacher","Worland High School","https://www.applitrack.com/washakie1/onlineapp/default.aspx?all=1","Washakie County School District 1","Special Education","Special Education"
"2892","Middle School Mathematics Teacher",2025-02-28,"Teacher","Worland Middle School","https://www.applitrack.com/washakie1/onlineapp/default.aspx?all=1","Washakie County School District 1","Mathematics Education","STEM"
"2893","HIGH/MIDDLE SCHOOL TEACHER (MUSIC)",2025-02-28,"Teacher","DISTRICT","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","Music Education","Music"
"2894","HIGH SCHOOL TEACHER (AG)",2025-02-28,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","Uncategorized","Other"
"2895","HIGH SCHOOL TEACHER (ART)",2025-02-28,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","Art Teacher","Art"
"2896","HIGH SCHOOL TEACHER (MATH)",2025-02-28,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","Mathematics Education","STEM"
"2897","HIGH SCHOOL TEACHER (SCIENCE)",2025-02-28,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","Science Education","STEM"
"2898","Math Teacher - Southeast Jr/Sr High Schools",2025-02-28,"Teacher","Southeast Jr - Sr High School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Mathematics Education","STEM"
"2899","Secondary English Language Arts Teacher for 2025-26 School Year",2025-02-28,"Teacher","Burns Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","English Language Arts Education","English Language Arts Secondary"
"2900","Elementary Teacher 2025-26 School Year",2025-02-28,"Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Elementary Education","Elementary"
"2901","Special Education Teacher",2025-02-28,"Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Special Education","Special Education"
"2902","Foreign Language Teacher 2025-2026 school year",2025-02-28,"Teacher","Burns Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Language Education","Lanugage"
"2903","Affective Needs Teacher",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2904","Special Education Teacher",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2905","Resource Teacher [XT21]",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2906","Special Education Teacher [XT21]",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2907","Special Education Teacher",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2908","Teacher - Secondary Business [C23]",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Business and Economics","CTE"
"2909","Teacher - Secondary Family & Consumer Science [TC23]",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","STEM"
"2910","Teacher - Secondary Science [TC23]",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","STEM"
"2911","Teacher - Secondary Social Studies [TC23]",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Social Studies Education","Secondary Social Studies"
"2912","Teacher - Secondary English Language Arts [TC23]",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","English Language Arts Education","English Language Arts Secondary"
"2913","Teacher - Secondary Math [TC23]",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","STEM"
"2914","Math Interventionist - Remainder of the 2024/2025 contract year only",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Mathematics Education","STEM"
"2915","Life Skills/PALS Teacher [XT30]",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2916","ESL Teacher - Secondary",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Language Education","Lanugage"
"2917","2nd Grade Spanish Dual Language Immersion Teacher",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"2918","Senior JROTC Instructor",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2919","Senior JROTC Instructor",2025-02-28,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2920","Special Needs (PALS) Teacher [XT21] - Remainder of the 2024/2025 Contract Year only",2025-02-28,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2921","Family & Consumer Science Teacher - Remainder of the 2024/2025 Contract Year Only",2025-02-28,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","STEM"
"2922","Teacher for the Deaf & Hard of Hearing",2025-02-28,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2923","Tech Ed Teacher - Remainder 2024/2025 Contract Year Only",2025-02-28,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2924","Resource Room Teacher - Elementary - 2024/2025 Contract Year Only",2025-02-28,"Teacher","SADDLE RIDGE ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"2925","Special Education Teacher - Affective Needs Program",2025-02-28,"Teacher","GOINS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2926","Dean Morgan Dual Language Immersion Teacher beginning 2025-26 School Year",2025-02-28,"Teacher","Natrona County School District #1","https://natronaschools.schoolspring.com/","Natrona School District 1","Language Education","Lanugage"
"2927","KWHS - Marine Instructor (MI) OR Senior ROTC Marine Instructor (SMI)",2025-02-28,"Teacher","Natrona County School District #1","https://natronaschools.schoolspring.com/","Natrona School District 1","Uncategorized","Other"
"2928","NCHS World Language Classroom Teacher beginning the 2025-26 school year",2025-02-28,"Teacher","Natrona County School District #1","https://natronaschools.schoolspring.com/","Natrona School District 1","Language Education","Lanugage"
"2929","Secondary English Language Arts Teacher for 2025-26 School Year",2025-02-28,"Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","English Language Arts Education","English Language Arts Secondary"
"2930","Elementary Teacher 2025-26 School Year",2025-02-28,"Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Elementary Education","Elementary"
"2931","Special Education Teacher",2025-02-28,"Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Special Education","Special Education"
"2932","Foreign Language Teacher 2025-2026 school year",2025-02-28,"Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Language Education","Lanugage"
"2933","HIGH/MIDDLE SCHOOL TEACHER (MUSIC)",2025-02-28,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Music Education","Music"
"2934","HIGH SCHOOL TEACHER (AG)",2025-02-28,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Uncategorized","Other"
"2935","HIGH SCHOOL TEACHER (ART)",2025-02-28,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Art Teacher","Art"
"2936","HIGH SCHOOL TEACHER (MATH)",2025-02-28,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Mathematics Education","STEM"
"2937","HIGH SCHOOL TEACHER (SCIENCE)",2025-02-28,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Science Education","STEM"
"2938","ESL (English as a Second Language) Teacher Assistant",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Elementary Education","Elementary"
"2939","Foreign Language Teacher - German",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Language Education","Lanugage"
"2940","Math Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Mathematics Education","STEM"
"2941","ESL (English as a Second Language) Teacher Assistant",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Elementary Education","Elementary"
"2942","Physical Education Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Physical Education","Physical Education"
"2943","Science Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Science Education","STEM"
"2944","Social Studies Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Social Studies Education","Secondary Social Studies"
"2945","Math Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Mathematics Education","STEM"
"2946","Physical Education Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Physical Education","Physical Education"
"2947","Physical Education Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Physical Education","Physical Education"
"2948","English Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","English Language Arts Education","English Language Arts Secondary"
"2949","Math Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Mathematics Education","STEM"
"2950","Science Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Science Education","STEM"
"2951","Technology Education Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Computer Science Education","CTE"
"2952","Teacher for the Deaf and Hard of Hearing",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Special Education","Special Education"
"2953","Secondary English Language Arts Interventionist",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","English Language Arts Education","English Language Arts Secondary"
"2954","Social Studies Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Social Studies Education","Secondary Social Studies"
"2955","Music Teacher",2025-02-28,"Teacher","CAMPBELL COUNTY SCHOOL DISTRICT #1","https://campbell.schoolspring.com/","Campbell County Scholl District 1","Music Education","Music"
"2956","Teacher",2025-02-28,"Teacher","Slade Elementary","https://www.acsd1.org/page/careers","Albany Count School District 1","Uncategorized","Other"
"2957","Secondary Teacher",2025-02-28,"Teacher","Alternative High School  Swift Creek High School","https://lcsd2.org/employment-opportunities/","Lincoln County School District 2","Uncategorized","Other"
"2958","Special Education Teacher",2025-02-28,"Teacher","Mild/Moderate  Star Valley","https://lcsd2.org/employment-opportunities/","Lincoln County School District 2","Special Education","Special Education"
"2959","Special Education Teacher",2025-02-28,"Teacher","Life Skills  Bridges to Independence","https://lcsd2.org/employment-opportunities/","Lincoln County School District 2","Special Education","Special Education"
"2960","Special Education Teacher",2025-02-28,"Teacher","Life Skills  Star Valley","https://lcsd2.org/employment-opportunities/","Lincoln County School District 2","Special Education","Special Education"
"2961","English Teacher",2025-02-28,"Teacher","Star Valley Middle School","https://lcsd2.org/employment-opportunities/","Lincoln County School District 2","English Language Arts Education","English Language Arts Secondary"
"2962","Elementary Teachers",2025-02-28,"Teacher","District Wide","https://lcsd2.org/employment-opportunities/","Lincoln County School District 2","Elementary Education","Elementary"
"2963","English Teacher",2025-02-28,"Teacher","Part time,  Cokeville High School","https://lcsd2.org/employment-opportunities/","Lincoln County School District 2","English Language Arts Education","English Language Arts Secondary"
"2964","Industrial Arts Teacher",2025-02-28,"Teacher","Cokeville High School","https://lcsd2.org/employment-opportunities/","Lincoln County School District 2","Technical Education","CTE"
"2965","Elementary Teacher",2025-02-28,"Teacher","District","https://www.growingluskleaders.org/page/human-resources","Niobrara County School District 1","Elementary Education","Elementary"
"2966","Art Teacher K-12",2025-02-28,"Teacher","District","https://www.growingluskleaders.org/page/human-resources","Niobrara County School District 1","Art Teacher","Art"
"2967","Special Education Teacher",2025-02-28,"Teacher","PCSD1","https://www.platte1.org/377683_4","Platte County School District 1","Special Education","Special Education"
"2968","Elementary Teacher",2025-02-28,"Teacher","Glendo Schools","https://www.platte1.org/377683_4","Platte County School District 1","Elementary Education","Elementary"
"2969","Middle School Science Teacher",2025-02-28,"Teacher","Wheatland Middle School","https://www.platte1.org/377683_4","Platte County School District 1","Science Education","STEM"
"2970","Middle School Social Studies Teacher",2025-02-28,"Teacher","Wheatland Middle School","https://www.platte1.org/377683_4","Platte County School District 1","Social Studies Education","Secondary Social Studies"
"2971","K-12 Special Education Teacher (Open Unitl Filled)",2025-02-28,"Teacher","District","https://www.uinta4.com/departments/business_office/job_opportunities/current_openings","Uinta County School District 4","Special Education","Special Education"
"2972","Business and Computer Teacher",2025-02-28,"Teacher","District","https://www.uinta4.com/departments/business_office/job_opportunities/current_openings","Uinta County School District 4","Business and Economics","CTE"
"2973","Career and Technicial Education Teacher",2025-02-28,"Teacher","District","https://www.uinta4.com/departments/business_office/job_opportunities/current_openings","Uinta County School District 4","Uncategorized","Other"
"2974","6-12 Biology / Physical Science Teacher - 185 days",2025-03-07,"Teacher","Rocky Mountain Middle/High School","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","Science Education","STEM"
"2975","Teacher - Title I (Grades 6-8) RMMS",2025-03-07,"Teacher","Rocky Mountain Middle/High School","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","Uncategorized","Other"
"2976","Special Education Classroom Teacher (9-12) 185 days",2025-03-07,"Teacher","Rocky Mountain Middle/High School","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","Special Education","Special Education"
"2977","Family and Consumer Science Teacher - Middle and High School",2025-03-07,"Teacher","Big Horn County School District #2","https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1","Big Horn School District 2","Family and Consumer Science","CTE"
"2978","High School Social Studies Teacher",2025-03-07,"Teacher","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","Social Studies Education","Secondary Social Studies"
"2979","High School English Teacher",2025-03-07,"Teacher","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","English Language Arts Education","English Language Arts Secondary"
"2980","Agriculture Teacher - FFA Sponsor",2025-03-07,"Teacher","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","Agriculture Education","CTE"
"2981","Preschool Teacher",2025-03-07,"Teacher","Laura Irwin Elementary","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Early Childhood Education","Early Childhood"
"2982","Special Education Teacher - Elementary",2025-03-07,"Teacher","Laura Irwin Elementary","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Special Education","Special Education"
"2983","Agriculture Teacher / FFA Advisor",2025-03-07,"Teacher","Riverside High School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Agriculture Education","CTE"
"2984","K-12 Art Teacher",2025-03-07,"Teacher","Riverside High School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Art Teacher","Art"
"2985","Special Education Teacher - High School",2025-03-07,"Teacher","Riverside High School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Special Education","Special Education"
"2986","Middle School Social Studies Teacher",2025-03-07,"Teacher","Riverside Middle School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Social Studies Education","Secondary Social Studies"
"2987","Middle School English Teacher 6-8",2025-03-07,"Teacher","Riverside Middle School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","English Language Arts Education","English Language Arts Secondary"
"2988","Elementary Teacher",2025-03-07,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Elementary Education","Elementary"
"2989","Music Teacher",2025-03-07,"Teacher","Rawlins Elementary School(High-Needs School)","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Music Education","Music"
"2990","Science Teacher",2025-03-07,"Teacher","Victory High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Science Education","STEM"
"2991","Automotive Teacher",2025-03-07,"Teacher","Carbon County Higher Education Center","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Technical Education","CTE"
"2992","Middle School Math Teacher",2025-03-07,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Mathematics Education","STEM"
"2993","Science Teacher",2025-03-07,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Science Education","STEM"
"2994","Language Arts Teacher",2025-03-07,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","English Language Arts Education","English Language Arts Secondary"
"2995","Choir Teacher/Music",2025-03-07,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Music Education","Music"
"2996","Special Education Teacher",2025-03-07,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"2997","High Needs Special Education Teacher",2025-03-07,"Teacher","Rawlins Elementary School(High-Needs School)","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"2998","Special Education Teacher",2025-03-07,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"2999","Special Education Teacher",2025-03-07,"Teacher","Rawlins High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"3000","Special Ed. Teacher (High Needs)",2025-03-07,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Uncategorized","Other"
"3001","Elementary Teacher",2025-03-07,"Teacher","Hanna Elementary School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","Elementary Education","Elementary"
"3002","Music Teacher",2025-03-07,"Teacher","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","Music Education","Music"
"3003","Elementary Classroom Teacher (2nd Grade)",2025-03-07,"Teacher","Grant Elementary School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2","Elementary Education","Elementary"
"3004","Elementary Teacher (Title I)",2025-03-07,"Teacher","Grant Elementary School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2","Elementary Education","Elementary"
"3005","Computer Science/Technology Teacher (Grades 7-12)",2025-03-07,"Teacher","Glenrock Jr/Sr High School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2","Computer Science Education","CTE"
"3006","Agriculture Education Teacher (7-12)",2025-03-07,"Teacher","Glenrock Jr/Sr High School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2","Agriculture Education","CTE"
"3007","Welding Teacher (7-12)",2025-03-07,"Teacher","Glenrock Jr/Sr High School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2","Technical Education","CTE"
"3008","Secondary Math Teacher",2025-03-07,"Teacher","Glenrock Jr/Sr High School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2","Mathematics Education","STEM"
"3009","Junior High Language Arts Teacher (Grades 7-8)",2025-03-07,"Teacher","Glenrock Jr/Sr High School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2","English Language Arts Education","English Language Arts Secondary"
"3010","DHS Agriculture Teacher and FFA Advisor",2025-03-07,"Teacher","Douglas High School","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Agriculture Education","CTE"
"3011","Alternative Program Teacher - Special Education",2025-03-07,"Teacher","Converse County School District #1","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Special Education","Special Education"
"3012","Alternative Program Teacher",2025-03-07,"Teacher","Converse County School District #1","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Uncategorized","Other"
"3013","Part-time Elementary Teacher",2025-03-07,"Teacher","Elementary Schools","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Elementary Education","Elementary"
"3014","Elementary Teacher",2025-03-07,"Teacher","Elementary Schools","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Elementary Education","Elementary"
"3015","Early Childhood Teacher",2025-03-07,"Teacher","Douglas Primary School","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Early Childhood Education","Early Childhood"
"3016","DMS Band Teacher",2025-03-07,"Teacher","Douglas Middle School","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Music Education","Music"
"3017","Special Education Teacher",2025-03-07,"Teacher","Converse County School District #1","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1","Special Education","Special Education"
"3018","Elementary Special Education Teacher",2025-03-07,"Teacher","Moorcroft Elementary","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Special Education","Special Education"
"3019","5th Grade Teacher (2025-2026 School Year)",2025-03-07,"Teacher","Hulett K-12","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Elementary Education","Elementary"
"3020","5th Grade Teacher (2025-2026 School Year)",2025-03-07,"Teacher","Moorcroft Elementary","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Elementary Education","Elementary"
"3021","2nd Grade Teacher (2025-2026 School Year)",2025-03-07,"Teacher","Moorcroft Elementary","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Elementary Education","Elementary"
"3022","Agriculture Education Teacher",2025-03-07,"Teacher","Sundance Secondary","https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","Crook County school District 1","Agriculture Education","CTE"
