"","title","Archive_Date","position","location","url","District","Category","Broad_Category"
"130","High School Social Studies Teacher",2024-08-09,"Teacher","Wyoming Indian High School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Social Studies Education","Secondary Social Studies"
"131","Elementary Special Education Teacher",2024-08-09,"Teacher","Wyoming Indian Elementary School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Special Education","Special Education"
"132","Special Education Teacher",2024-08-09,"Teacher","Hot Springs County School District #1","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs School District 1","Special Education","Special Education"
"133","HS English Teacher",2024-08-09,"Teacher","Hot Springs County School District #1","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs School District 1","English Language Arts Education","English Language Arts Secondary"
"134","Secondary English Teacher - Middle School",2024-08-09,"Teacher","Thermopolis Middle School","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs School District 1","English Language Arts Education","English Language Arts Secondary"
"135","COMPUTER SCIENCE TEACHER - 2024/2025 CONTRACT YEAR ONLY",2024-08-09,"Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Computer Science Education","CTE"
"136","FAMILY AND CONSUMER SCIENCE TEACHER",2024-08-09,"Teacher","CAREY JUNIOR HIGH SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Family and Consumer Science","CTE"
"137","KINDERGARTEN TEACHER",2024-08-09,"Teacher","GOINS ELEMENTARY SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Elementary Education","Elementary"
"138","RESOURCE ROOM TEACHER",2024-08-09,"Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Uncategorized","Other"
"139","SCIENCE TEACHER - 8th Grade",2024-08-09,"Teacher","CAREY JUNIOR HIGH SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Science Education","STEM"
"140","SPECIAL EDUCATION ADAPTIVE LIVING SKILLS/PALS TEACHER",2024-08-09,"Teacher","SOUTH HIGH SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Special Education","Special Education"
"141","MIDDLE SCHOOL SCIENCE TEACHER - PODER ACADEMY SECONDARY SCHOOL",2024-08-09,"Teacher","PODER ACADEMY SECONDARY","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Science Education","STEM"
"142","ESSENTIAL SKILLS PROGRAM LEAD TEACHER",2024-08-09,"Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Uncategorized","Other"
"143","SPECIAL EDUCATION TEACHER-RESOURCE ROOM",2024-08-09,"Teacher","HENDERSON ELEMENTARY SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Special Education","Special Education"
"144","SPECIAL EDUCATION TEACHER-RESOURCE ROOM - 2 Positions",2024-08-09,"Teacher","EAST HIGH SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Special Education","Special Education"
"145","SPECIAL EDUCATION TEACHER",2024-08-09,"Teacher","DAVIS ELEMENTARY SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Special Education","Special Education"
