"","Category","Archive_Date","Institution","sum"
"375","Humanities",2025-08-22,"Total",13
"376","Humanities",2025-08-29,"Total",13
"377","Humanities",2025-09-05,"Total",14
"378","Humanities",2025-09-12,"Total",12
"379","Humanities",2025-09-19,"Total",13
"380","Humanities",2025-09-26,"Total",13
"381","Humanities",2025-10-03,"Total",13
"382","Humanities",2025-10-10,"Total",12
"383","Humanities",2025-10-17,"Total",12
"384","Humanities",2025-10-24,"Total",11
"385","Humanities",2025-10-31,"Total",12
"386","Humanities",2025-11-07,"Total",12
"387","Humanities",2025-11-14,"Total",11
"388","Humanities",2025-11-21,"Total",12
"389","Humanities",2025-11-28,"Total",11
"390","Humanities",2025-12-05,"Total",11
"391","Humanities",2025-12-12,"Total",9
"392","Humanities",2025-12-19,"Total",10
"393","Humanities",2025-12-26,"Total",10
"394","Humanities",2026-01-02,"Total",10
"395","Humanities",2026-01-09,"Total",9
"396","Humanities",2026-01-16,"Total",8
"397","Humanities",2026-01-23,"Total",6
"398","Humanities",2026-01-30,"Total",6
"399","Humanities",2026-02-06,"Total",6
"400","Humanities",2026-02-13,"Total",6
"401","Humanities",2026-02-20,"Total",6
"402","Humanities",2026-02-27,"Total",6
"403","Language",2024-08-09,"Total",1
"404","Language",2024-08-16,"Total",1
"405","Language",2024-08-23,"Total",1
"406","Language",2024-08-30,"Total",1
"407","Language",2024-09-06,"Total",1
"408","Language",2024-09-13,"Total",1
"409","Language",2024-09-20,"Total",1
"410","Language",2024-09-27,"Total",1
"411","Language",2024-10-04,"Total",1
"412","Language",2024-10-11,"Total",1
"413","Language",2024-10-18,"Total",1
"414","Language",2025-05-30,"Total",1
"415","Language",2025-06-06,"Total",1
"416","Language",2025-06-13,"Total",1
"417","Language",2025-06-20,"Total",1
"418","Language",2025-06-27,"Total",1
"419","Language",2025-07-04,"Total",1
"420","Language",2025-07-11,"Total",1
"421","Language",2025-07-18,"Total",1
"422","Language",2025-07-25,"Total",1
"423","Language",2025-08-01,"Total",1
"424","Language",2025-08-08,"Total",1
"425","Language",2025-08-15,"Total",1
"426","Language",2025-08-22,"Total",1
"427","Language",2025-08-29,"Total",1
"428","Language",2025-09-05,"Total",1
"429","Language",2025-09-12,"Total",1
"430","Language",2025-09-19,"Total",1
"431","Language",2025-09-26,"Total",1
"432","Language",2025-10-03,"Total",1
"433","Language",2025-10-10,"Total",1
"434","Language",2025-10-17,"Total",1
"435","Language",2025-10-24,"Total",1
"436","Language",2025-10-31,"Total",1
"437","Language",2025-11-07,"Total",1
"438","Language",2025-11-14,"Total",1
"439","Language",2025-11-21,"Total",1
"440","Language",2025-11-28,"Total",1
"441","Language",2025-12-05,"Total",1
"442","Language",2025-12-12,"Total",1
"443","Language",2025-12-19,"Total",1
"444","Language",2025-12-26,"Total",1
"445","Language",2026-01-02,"Total",1
"446","Language",2026-01-09,"Total",1
"447","Language",2026-01-16,"Total",1
"448","Legal",2025-02-21,"Total",2
"449","Legal",2025-02-28,"Total",2
"450","Legal",2025-03-07,"Total",2
"451","Legal",2025-03-14,"Total",2
"452","Legal",2025-03-21,"Total",1
"453","Legal",2025-03-28,"Total",1
"454","Legal",2025-04-04,"Total",1
"455","Legal",2025-04-11,"Total",1
"456","Legal",2025-04-18,"Total",1
"457","Legal",2025-04-25,"Total",1
"458","Legal",2025-05-02,"Total",1
"459","Legal",2025-05-09,"Total",1
"460","Legal",2025-05-16,"Total",1
"461","Legal",2025-05-23,"Total",2
"462","Legal",2025-05-30,"Total",2
"463","Legal",2025-06-06,"Total",2
"464","Legal",2025-06-13,"Total",2
"465","Legal",2025-06-20,"Total",2
"466","Legal",2025-06-27,"Total",2
"467","Legal",2025-07-04,"Total",2
"468","Legal",2025-07-11,"Total",2
"469","Legal",2025-07-18,"Total",1
"470","Legal",2025-07-25,"Total",1
"471","Legal",2025-08-01,"Total",1
"472","Legal",2025-08-08,"Total",1
"473","Legal",2025-08-29,"Total",1
"474","Legal",2025-09-05,"Total",1
"475","Legal",2025-09-12,"Total",3
"476","Legal",2025-09-19,"Total",4
"477","Legal",2025-09-26,"Total",4
"478","Legal",2025-10-03,"Total",5
"479","Legal",2025-10-10,"Total",5
"480","Legal",2025-10-17,"Total",5
"481","Legal",2025-10-24,"Total",3
"482","Legal",2025-10-31,"Total",2
"483","Legal",2025-11-07,"Total",2
"484","Legal",2025-11-14,"Total",2
"485","Legal",2025-11-21,"Total",2
"486","Legal",2025-11-28,"Total",2
"487","Legal",2025-12-05,"Total",2
"488","Legal",2025-12-12,"Total",2
"489","Legal",2025-12-19,"Total",1
"490","Legal",2025-12-26,"Total",1
"491","Legal",2026-01-02,"Total",1
"492","Legal",2026-01-09,"Total",1
"493","Legal",2026-01-16,"Total",1
"494","Legal",2026-01-23,"Total",1
"495","Legal",2026-01-30,"Total",1
"496","Legal",2026-02-06,"Total",1
"497","Legal",2026-02-13,"Total",1
"498","Legal",2026-02-20,"Total",1
"499","Legal",2026-02-27,"Total",1
"500","Library",2024-08-09,"Total",2
"501","Library",2024-08-16,"Total",2
"502","Library",2024-08-23,"Total",2
"503","Library",2024-08-30,"Total",2
